target_id	name	uniprot	description	cmpd_id_in_src	cmpd_pubchem_cid	pubmed_ids
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL298913	10816800	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL123440	657007	15203151
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL379258	44411342	16517159
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL179910	9850077	15771442
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL108771	10505240	9703466
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091511	72792674	24175584
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091506	72792610	24175584
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL314942	44319701	9873581
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1166	92722	7966150
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL208262	11963488	16460939
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL193814	NULL	15911253
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL128601	44352041	10636229
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL288407	44285077	7739010
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL599866	46228662	20148533
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL544560	45261223	12270173
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL544560	45261223	12270173
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091516	9953722	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091516	9953722	24175584
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL84084	44462161	10498197
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL99281	44331070	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL123453	44348201	15203151
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL79705	10047767	10698445
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL350955	44377622	11858993
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL162216	44377475	11858993
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL318001	44331436	9873654
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL288689	44285311	7739010
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL419202	44337952	12372529
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL108952	44337971	12372529
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL40407	44287996	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL32686	9802858	12668008
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL291026	44284992	7739010
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1952405	57398234	22365562
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3741532	127042754	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3415216	118733116	25874337
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL415479	44264598	10230630
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL50689	101049830	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL228285	44426245	17462889
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL118644	44345728	9934475
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL121423	44345610	9934475
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL121423	44345610	10201839
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL121423	44345610	10201839
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1166	92722	12238922
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1166	92722	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL2092832	70687125	9154975
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1160894	44339490	10464012
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091519	67155199	24175584
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL558215	45265182	7966150
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL366643	44383800	10230612
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL325019	44345727	10201839
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL325019	44345727	9934475
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL256091	11155871	18420408
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3739660	127038455	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL266196	11754250	9873581
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL266196	11754250	11909707
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL273645	44265996	11297451
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL503000	10674014	9834145
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL110780	44337884	8426361
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091527	72792609	24175584
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL308576	44314683	9873535
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL168176	44379037	12617893
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL422387	9801948	12617893
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL322321	10553110	9703466
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1949838	57395044	22365562
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL2216916	71452612	23124213
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL423723	9984267	11738569
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL431894	NULL	12668009
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL96502	44326920	16257203
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL12506	10483116	10328293
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3739822	127042983	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL138441	9847373	8917638
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL354555	44380201	9871547
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1087037	9954757	20102150
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL73313	44313722	12824021
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL46638	44289631	12482415
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091507	44201094	24175584
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL330776	15519912	9934475
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL267544	44268339	10328293
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL136198	44358340	11738569
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL415298	44264699	11909707
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL37637	9955758	12668020
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL298925	44296342	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL46331	44292952	9873422
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL105455	11316448	15163182
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL158939	44372865	11844691
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3142750	90663138	9544200
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL332870	44347533	9357536
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL96502	44326920	11133089
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL96486	11797515	9371237
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL96486	11797515	9871547
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3740267	127038045	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL207128	10411843	16517159
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL2373397	73345765	9871540
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL355441	44379904	9871547
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL164924	9931726	12617893
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL101563	9931725	12617893
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL353213	9802758	12617893
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL342083	44361131	10579821
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL311198	44461912	10498196
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL205766	44410963	16460939
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1087670	9823849	20102150
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL568099	45486770	19674897
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL166779	44379767	10636249
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL128560	44352022	10636229
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL50590	10579010	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL169067	44380662	10206546
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL142106	11733626	12570369
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL206841	44411136	16517159
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL330531	44326853	11133089
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL606949	46878192	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL291085	44285174	7739010
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL324075	44345710	9934475
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL50090	22556932	11459634
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL211410	22086976	16730984
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL179270	9848592	15664864
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL83681	44462137	10498196
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL431443	44337951	12372529
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL296176	44296481	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL51635	10507039	10794696
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL274124	44268345	10328293
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL276881	44287943	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL565291	11396906	19674897
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL111122	44339453	15149685
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL287918	44285118	7739010
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL460144	25107571	22365562
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL2373401	73350338	9871540
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3091503	72792746	24175584
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL120583	44345991	9934475
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL13151	44268362	10328293
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL369251	448062	10853668
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL308427	10478912	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL162174	44376938	10201839
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3740081	127038047	26690913
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL26452	23206211	12672230
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL7124	15515698	10230630
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL460378	25181493	19036586
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL128436	44352010	10636229
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3142745	90663132	9544200
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL424172	44377570	11858993
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3423207	118736275	25912673
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL603263	45142008	25912673
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL83549	44462136	10498196
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL50649	22556963	11459634
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL347846	15461564	11170646
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL41144	44286351	10915052
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL2409571	71818832	23844670
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL352803	44380265	10636249
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL37669	44283894	12668020
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1166	92722	NULL
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL1166	92722	10669559
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL3142680	90663110	9544200
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL332934	10767215	14505652
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL352993	44379842	10636249
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL285981	44281618	12668009
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL558235	45265825	16290930
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL121452	9960017	9934475
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL121452	9960017	10201839
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL121452	9960017	10201839
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL50	5280343	24610996
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL124500	44347978	15203151
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL24186	12017722	10340621
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL361822	23646594	15771442
17559	THRB_HUMAN	P00734	Prothrombin	CHEMBL367890	22861511	15771442
